players,opponents,stat_type,line
Asuna,NRG MAPS 1-2,MAPS 1-2 Kills,31.5
Cryocells,NRG MAPS 1-2,MAPS 1-2 Kills,36.5
Boostio,NRG MAPS 1-2,MAPS 1-2 Kills,24.5
eeiu,NRG MAPS 1-2,MAPS 1-2 Kills,30.5
Zander,NRG MAPS 1-2,MAPS 1-2 Kills,28.5
skuba,100 Thieves MAPS 1-2,MAPS 1-2 Kills,30.5
mada,100 Thieves MAPS 1-2,MAPS 1-2 Kills,34.5
s0m,100 Thieves MAPS 1-2,MAPS 1-2 Kills,29.5
Ethan,100 Thieves MAPS 1-2,MAPS 1-2 Kills,28.5
brawk,100 Thieves MAPS 1-2,MAPS 1-2 Kills,28.5
OXY,KRÜ Esports MAPS 1-2,MAPS 1-2 Kills,38.5
v1c,KRÜ Esports MAPS 1-2,MAPS 1-2 Kills,29.5
Xeppaa,KRÜ Esports MAPS 1-2,MAPS 1-2 Kills,30.5
neT,KRÜ Esports MAPS 1-2,MAPS 1-2 Kills,28.5
mitch,KRÜ Esports MAPS 1-2,MAPS 1-2 Kills,27.5
adverso,Cloud9 MAPS 1-2,MAPS 1-2 Kills,26.5
Mazino,Cloud9 MAPS 1-2,MAPS 1-2 Kills,30.5
traded,Cloud9 MAPS 1-2,MAPS 1-2 Kills,34.0
nerve,Cloud9 MAPS 1-2,MAPS 1-2 Kills,26.5
Melser,Cloud9 MAPS 1-2,MAPS 1-2 Kills,27.5
Sato,FURIA MAPS 1-2,MAPS 1-2 Kills,36.5
tex,FURIA MAPS 1-2,MAPS 1-2 Kills,29.5
kiNgg,FURIA MAPS 1-2,MAPS 1-2 Kills,31.5
C0M,FURIA MAPS 1-2,MAPS 1-2 Kills,26.5
Okeanos,FURIA MAPS 1-2,MAPS 1-2 Kills,33.5
heat,Leviatán MAPS 1-2,MAPS 1-2 Kills,28.5
woddy,Leviatán MAPS 1-2,MAPS 1-2 Kills,26.5
Urango,Leviatán MAPS 1-2,MAPS 1-2 Kills,23.5
tuyz,Leviatán MAPS 1-2,MAPS 1-2 Kills,22.5
Loss,Leviatán MAPS 1-2,MAPS 1-2 Kills,29.5
f0rsakeN + Jinggg + something,DRX MAPS 1-3,MAPS 1-3 Kills (Combo),141.5
HYUNMIN + Estrella + free1ng,Paper Rex MAPS 1-3,MAPS 1-3 Kills (Combo),136.5
something + Jinggg,DRX MAPS 1-3,MAPS 1-3 Kills (Combo),92.0
free1ng + HYUNMIN,Paper Rex MAPS 1-3,MAPS 1-3 Kills (Combo),100.0
