players,opponents,stat_type,line
free1ng,Paper Rex MAPS 1-3,MAPS 1-3 Kills,45.5
MaKo,Paper Rex MAPS 1-3,MAPS 1-3 Kills,47.5
HYUNMIN,Paper Rex MAPS 1-3,MAPS 1-3 Kills,54.5
Estrella,Paper Rex MAPS 1-3,MAPS 1-3 Kills,36.5
BeYN,Paper Rex MAPS 1-3,MAPS 1-3 Kills,42.0
Jinggg,DRX MAPS 1-3,MAPS 1-3 Kills,46.5
f0rsakeN,DRX MAPS 1-3,MAPS 1-3 Kills,49.5
something,DRX MAPS 1-3,MAPS 1-3 Kills,45.5
mindfreak,DRX MAPS 1-3,MAPS 1-3 Kills,39.5
d4v41,DRX MAPS 1-3,MAPS 1-3 Kills,42.5
marteen,FUT Esports MAPS 1-2,MAPS 1-2 Kills,34.5
Elite,FUT Esports MAPS 1-2,MAPS 1-2 Kills,28.5
Saadhak,FUT Esports MAPS 1-2,MAPS 1-2 Kills,24.5
SUYGETSU,FUT Esports MAPS 1-2,MAPS 1-2 Kills,29.5
avez,FUT Esports MAPS 1-2,MAPS 1-2 Kills,31.5
xeus,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,35.5
AtaKaptan,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,29.5
MrFaliN,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,27.5
qRaxs,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,28.5
yetujey,Karmine Corp MAPS 1-2,MAPS 1-2 Kills,31.5
Ruxic,GIANTX MAPS 1-2,MAPS 1-2 Kills,35.5
Shao,GIANTX MAPS 1-2,MAPS 1-2 Kills,30.5
ANGE1,GIANTX MAPS 1-2,MAPS 1-2 Kills,24.0
hiro,GIANTX MAPS 1-2,MAPS 1-2 Kills,33.5
koalanoob,GIANTX MAPS 1-2,MAPS 1-2 Kills,31.5
GRUBINHO,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,28.5
Cloud,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,31.5
Flickless,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,26.5
ara,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,32.5
westside,Natus Vincere MAPS 1-2,MAPS 1-2 Kills,27.5
Less,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,31.5
Sayf,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,31.5
Derke,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,35.5
Kicks,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,24.5
CyvOph,Gentle Mates MAPS 1-2,MAPS 1-2 Kills,31.5
Minny,Team Vitality MAPS 1-2,MAPS 1-2 Kills,30.5
Zyppan,Team Vitality MAPS 1-2,MAPS 1-2 Kills,24.0
Proxh,Team Vitality MAPS 1-2,MAPS 1-2 Kills,29.5
Veqaj,Team Vitality MAPS 1-2,MAPS 1-2 Kills,33.5
kamyk,Team Vitality MAPS 1-2,MAPS 1-2 Kills,27.5
benjyfishy + MiniBoo + Wo0t,FNATIC MAPS 1-3,MAPS 1-3 Kills (Combo),140.5
Chronicle + Alfajer + kaajak,Team Heretics MAPS 1-3,MAPS 1-3 Kills (Combo),151.0
benjyfishy + MiniBoo,FNATIC MAPS 1-3,MAPS 1-3 Kills (Combo),94.0
Alfajer + kaajak,Team Heretics MAPS 1-3,MAPS 1-3 Kills (Combo),106.0
Boo,FNATIC MAPS 1-3,MAPS 1-3 Kills,38.5
MiniBoo,FNATIC MAPS 1-3,MAPS 1-3 Kills,49.5
RieNs,FNATIC MAPS 1-3,MAPS 1-3 Kills,46.5
Wo0t,FNATIC MAPS 1-3,MAPS 1-3 Kills,46.5
benjyfishy,FNATIC MAPS 1-3,MAPS 1-3 Kills,44.5
Alfajer,Team Heretics MAPS 1-3,MAPS 1-3 Kills,51.5
kaajak,Team Heretics MAPS 1-3,MAPS 1-3 Kills,54.5
Chronicle,Team Heretics MAPS 1-3,MAPS 1-3 Kills,45.0
crashies,Team Heretics MAPS 1-3,MAPS 1-3 Kills,42.0
Boaster,Team Heretics MAPS 1-3,MAPS 1-3 Kills,36.0
