Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
soulcas,vyse,(3) 27%,58,0.74,144.0,0.56,103.5,66%,0.43,0.28,0.00,0.02,25,45,16,0,1
soulcas,killjoy,(1) 9%,22,1.33,228.0,1.36,149.5,82%,0.86,0.05,0.05,0.00,19,14,1,1,0
Chronicle,viper,(9) 64%,200,1.08,215.1,1.20,134.5,75%,0.76,0.27,0.11,0.11,151,126,53,22,21
Chronicle,cypher,(3) 21%,64,0.93,173.3,0.90,114.3,73%,0.55,0.20,0.13,0.08,35,39,13,8,5
Chronicle,breach,(1) 7%,24,0.95,172.0,0.81,115.2,67%,0.54,0.46,0.08,0.08,13,16,11,2,2
Chronicle,sova,(1) 7%,23,0.89,139.0,0.77,103.5,65%,0.43,0.30,0.00,0.09,10,13,7,0,2
ara,neon,(13) 45%,254,1.09,229.8,1.12,141.1,72%,0.83,0.17,0.17,0.16,211,189,43,42,40
ara,jett,(10) 34%,223,1.04,221.7,1.11,148.2,71%,0.81,0.13,0.19,0.13,180,162,29,42,28
ara,raze,(4) 14%,88,1.06,222.5,1.06,144.3,74%,0.76,0.19,0.22,0.11,67,63,17,19,10
ara,yoru,(2) 7%,37,0.62,151.5,0.58,109.8,65%,0.49,0.22,0.14,0.19,18,31,8,5,7
Kicks,breach,(12) 46%,264,0.90,151.5,0.84,100.6,75%,0.56,0.39,0.03,0.08,147,176,103,7,20
Kicks,omen,(7) 27%,150,0.96,180.4,0.94,115.5,74%,0.63,0.35,0.09,0.10,94,100,52,13,15
Kicks,skye,(4) 15%,91,1.08,205.5,1.15,131.1,70%,0.75,0.38,0.05,0.07,68,59,35,5,6
Kicks,kayo,(3) 12%,61,1.10,195.7,0.95,130.3,69%,0.69,0.48,0.02,0.18,42,44,29,1,11
xeus,jett,(6) 43%,152,0.92,234.2,0.99,143.0,64%,0.78,0.14,0.22,0.22,118,119,22,33,34
xeus,yoru,(3) 21%,64,1.15,245.7,1.33,149.5,66%,0.88,0.19,0.13,0.16,56,42,12,8,10
xeus,waylay,(3) 21%,61,0.89,239.0,0.98,142.6,62%,0.84,0.10,0.30,0.18,51,52,6,18,11
xeus,neon,(1) 7%,34,1.20,256.0,1.21,161.4,76%,0.85,0.24,0.15,0.15,29,24,8,5,5
xeus,chamber,(1) 7%,22,1.07,234.0,1.18,156.5,68%,0.91,0.09,0.14,0.09,20,17,2,3,2
hiro,cypher,(7) 50%,149,0.88,172.3,0.92,119.9,64%,0.65,0.16,0.07,0.11,97,106,24,11,17
hiro,killjoy,(3) 21%,65,0.97,200.3,1.09,129.0,68%,0.74,0.11,0.08,0.12,48,44,7,5,8
hiro,vyse,(3) 21%,50,1.19,213.0,1.28,135.1,62%,0.74,0.26,0.02,0.08,37,29,13,1,4
hiro,raze,(1) 7%,23,1.30,286.0,1.28,186.2,70%,1.00,0.35,0.17,0.04,23,18,8,4,1
yetujey,cypher,(8) 57%,171,0.98,175.9,1.01,119.8,70%,0.64,0.26,0.11,0.09,110,109,44,19,16
yetujey,killjoy,(2) 14%,72,1.02,177.5,1.02,130.7,60%,0.68,0.11,0.07,0.11,49,48,8,5,8
yetujey,viper,(2) 14%,43,0.99,190.0,0.97,123.2,60%,0.65,0.26,0.09,0.05,28,29,11,4,2
yetujey,deadlock,(1) 7%,24,1.54,267.0,1.44,163.9,79%,0.96,0.38,0.04,0.13,23,16,9,1,3
yetujey,tejo,(1) 7%,23,0.64,133.0,0.58,91.7,65%,0.48,0.30,0.00,0.09,11,19,7,0,2
