Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
flyuh,cypher,(3) 27%,63,0.70,163.3,0.74,114.4,67%,0.59,0.13,0.10,0.13,37,50,8,6,8
flyuh,vyse,(1) 9%,19,0.29,108.0,0.28,81.5,53%,0.26,0.26,0.05,0.11,5,18,5,1,2
Zyppan,tejo,(8) 62%,186,0.83,165.6,0.82,117.3,72%,0.56,0.20,0.07,0.10,105,128,38,13,18
Zyppan,sova,(4) 31%,82,0.74,133.8,0.66,98.2,62%,0.50,0.23,0.05,0.16,41,62,19,4,13
Zyppan,omen,(1) 8%,17,0.51,97.0,0.29,67.5,59%,0.24,0.29,0.06,0.06,4,14,5,1,1
ANGE1,fade,(7) 50%,142,0.68,139.0,0.66,95.8,68%,0.49,0.25,0.08,0.13,69,105,35,11,19
ANGE1,vyse,(3) 21%,58,0.86,163.3,0.79,106.5,72%,0.53,0.26,0.07,0.05,31,39,15,4,3
ANGE1,sova,(2) 14%,41,0.85,176.5,0.83,123.4,68%,0.59,0.27,0.07,0.12,24,29,11,3,5
ANGE1,tejo,(1) 7%,24,0.92,171.0,0.87,119.1,67%,0.54,0.08,0.17,0.04,13,15,2,4,1
ANGE1,deadlock,(1) 7%,22,0.28,115.0,0.47,77.0,59%,0.41,0.14,0.05,0.27,9,19,3,1,6
tomaszy,yoru,(3) 38%,57,0.60,141.3,0.60,96.1,58%,0.49,0.21,0.11,0.21,28,47,12,6,12
tomaszy,omen,(3) 38%,53,0.49,120.7,0.40,76.1,62%,0.34,0.40,0.04,0.08,18,45,21,2,4
tomaszy,neon,(1) 13%,22,0.83,175.0,0.88,117.1,73%,0.64,0.27,0.18,0.27,14,16,6,4,6
tomaszy,raze,(1) 13%,21,0.98,207.0,1.00,148.0,57%,0.76,0.14,0.10,0.19,16,16,3,2,4
AvovA,omen,(10) 83%,206,0.91,168.8,0.78,109.5,71%,0.55,0.41,0.06,0.06,113,145,85,13,12
AvovA,astra,(1) 8%,30,0.77,159.0,0.73,102.1,70%,0.53,0.33,0.00,0.00,16,22,10,0,0
AvovA,viper,(1) 8%,19,0.79,157.0,0.60,104.1,53%,0.47,0.21,0.11,0.00,9,15,4,2,0
Serial,cypher,(13) 42%,290,1.09,189.8,1.17,138.7,76%,0.74,0.16,0.08,0.06,215,183,45,23,18
Serial,viper,(4) 13%,91,1.09,215.0,1.10,150.2,70%,0.76,0.24,0.09,0.11,69,63,22,8,10
Serial,astra,(4) 13%,76,0.85,143.5,0.79,102.9,74%,0.49,0.46,0.07,0.04,37,47,35,5,3
Serial,deadlock,(4) 13%,72,0.99,165.5,1.28,111.8,74%,0.69,0.31,0.08,0.08,50,39,22,6,6
Serial,tejo,(2) 6%,46,0.84,156.5,0.77,103.8,65%,0.52,0.28,0.09,0.09,24,31,13,4,4
Serial,killjoy,(2) 6%,41,0.80,167.0,0.72,124.5,54%,0.56,0.10,0.07,0.10,23,32,4,3,4
Serial,vyse,(2) 6%,39,1.42,258.5,1.79,171.4,85%,0.87,0.28,0.08,0.05,34,19,11,3,2
Governor,tejo,(7) 58%,143,0.60,141.7,0.62,97.9,58%,0.48,0.15,0.06,0.12,68,109,22,9,17
Governor,sova,(4) 33%,82,0.69,154.8,0.63,102.0,61%,0.50,0.24,0.10,0.13,41,65,20,8,11
Governor,fade,(1) 8%,30,0.77,131.0,0.62,87.7,70%,0.43,0.27,0.10,0.20,13,21,8,3,6
