Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Lotus,TE,heybay,viper,148,12,18,5,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,TE,FengF,tejo,123,10,18,4,,False,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,AG,K1ra,omen,256,21,18,7,,True,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,AG,player,breach,203,18,16,10,,True,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,AG,Lsn,tejo,203,17,14,11,,True,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,AG,deLb,viper,198,17,15,7,,True,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Lotus,AG,HanChe,waylay,167,16,16,4,,True,11‑13,2025-03-14,2,https://www.vlr.gg/450048/trace-esports-vs-all-gamers-champions-tour-2025-china-stage-1-w1
Fracture,DRG,vo0kashu,cypher,390,28,12,3,,True,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,DRG,Flex1n,brimstone,255,15,13,15,,True,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,DRG,SpiritZ1,yoru,223,16,13,3,,True,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,DRG,Nicc,breach,198,14,12,15,,True,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,DRG,Cangshu,fade,165,12,11,6,,True,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,NOVA,Ezeir,tejo,300,20,17,6,,False,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,NOVA,OBONE,brimstone,198,12,17,13,,False,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,NOVA,CB,neon,172,12,17,4,,False,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,NOVA,GuanG,cypher,137,10,17,2,,False,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,NOVA,o0o0o,breach,123,7,17,7,,False,13‑6,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,DRG,SpiritZ1,yoru,284,21,20,8,,True,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,DRG,vo0kashu,cypher,247,20,12,6,,True,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,DRG,Flex1n,omen,225,19,15,15,,True,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,DRG,Nicc,breach,175,14,15,22,,True,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,DRG,Cangshu,tejo,140,11,15,9,,True,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,NOVA,Ezeir,astra,291,23,17,10,,False,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,NOVA,GuanG,raze,226,17,19,10,,False,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,NOVA,CB,deadlock,159,13,19,5,,False,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,NOVA,OBONE,vyse,139,12,15,3,,False,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Lotus,NOVA,o0o0o,breach,122,12,15,11,,False,13‑10,2025-03-15,3,https://www.vlr.gg/450049/dragon-ranger-gaming-vs-nova-esports-champions-tour-2025-china-stage-1-w1
Fracture,TYL,slowly,breach,261,19,17,7,,False,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,TYL,Ninebody,waylay,178,11,16,6,,False,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
Fracture,TYL,5CM,vyse,147,10,16,4,,False,7‑13,2025-03-15,4,https://www.vlr.gg/450050/tyloo-vs-edward-gaming-champions-tour-2025-china-stage-1-w1
